company_name,postings_count,categories_spanned,cities_spanned,pct_salary_disclosed,pct_duplicate_ads,pct_of_total_postings,volume_rank
Jora Local,405,3,31,0.0,10.4,4.05,1
Private Advertiser,397,28,42,19.1,3.0,3.97,2
Hays Office Support,51,4,17,15.7,13.7,0.51,3
Robert Walters,42,8,7,85.7,0.0,0.42,4
HOBAN Recruitment,41,15,8,2.4,9.8,0.41,5
people2people,38,11,5,68.4,10.5,0.38,6
Hays Accountancy & Finance,38,1,7,15.8,26.3,0.38,7
Chandler Macleod Group,33,14,8,45.5,6.1,0.33,8
Randstad - Business Support,32,9,7,81.3,6.3,0.32,9
Hays Contact Centres,31,4,7,35.5,22.6,0.31,10
Sidekicker,31,4,5,12.9,38.7,0.31,11
Veritas Recruitment,30,6,2,40.0,20.0,0.3,12
Programmed Skilled Workforce,30,6,17,3.3,10.0,0.3,13
Robert Half Finance & Accounting,29,2,5,100.0,13.8,0.29,14
National Australia Bank,26,5,9,34.6,23.1,0.26,15
Perigon Group Pty Limited,25,6,3,40.0,20.0,0.25,16
Kelly Services,25,8,7,56.0,24.0,0.25,17
Wow Recruitment,25,9,6,68.0,16.0,0.25,18
Charterhouse,24,9,3,79.2,25.0,0.24,19
Hays Information Technology,24,1,9,20.8,8.3,0.24,20
Staff Australia Recruitment Services P/L,23,3,5,52.2,34.8,0.23,21
My Joblist,23,6,7,30.4,8.7,0.23,22
Adecco,22,6,4,31.8,0.0,0.22,23
Aldi Stores,21,2,13,14.3,0.0,0.21,24
Robert Half Technology,21,1,3,100.0,9.5,0.21,25
Smaart Recruitment,20,6,3,35.0,10.0,0.2,26
Manpower,20,8,6,50.0,0.0,0.2,27
Coles,19,5,7,5.3,0.0,0.19,28
Page Personnel Finance & Accounting,18,1,5,44.4,27.8,0.18,29
Sinclair Recruitment Pty Ltd,17,6,4,64.7,0.0,0.17,30
Fletcher Building Limited,17,7,10,11.8,0.0,0.17,31
FourQuarters Recruitment,17,6,2,35.3,0.0,0.17,32
Toll,17,4,10,23.5,0.0,0.17,33
u&u. Recruitment Partners,16,5,2,81.3,0.0,0.16,34
Broadspectrum (Australia) Pty Ltd,16,8,10,0.0,0.0,0.16,35
Mars Recruitment,15,5,3,80.0,13.3,0.15,36
Hays Talent Solutions,15,6,5,6.7,13.3,0.15,37
Davidson Corporate,14,6,1,0.0,0.0,0.14,38
Drake International,14,7,5,14.3,0.0,0.14,39
Hudson - Business Support,14,5,8,64.3,0.0,0.14,40
IPA,14,11,4,35.7,0.0,0.14,41
Page Personnel Office Support,14,3,4,7.1,0.0,0.14,42
Conquest Personnel P/L,14,7,2,57.1,14.3,0.14,43
Employment Office,13,10,7,100.0,0.0,0.13,44
Beyond Recruitment - Winner – Best Innovation –2018 Global Recruiter Awards,13,6,4,23.1,0.0,0.13,45
Healthcare Professionals Group,13,4,5,61.5,0.0,0.13,46
Luxottica Retail Aust Pty Ltd,13,2,8,92.3,0.0,0.13,47
McArthur,13,7,4,30.8,15.4,0.13,48
Complete Staff Solutions Pty Ltd,13,4,4,84.6,0.0,0.13,49
Action Workforce,13,1,3,61.5,0.0,0.13,50
Madison Recruitment Ltd,13,7,5,15.4,0.0,0.13,51
Transport for NSW,12,8,3,66.7,0.0,0.12,52
Bluefin Resources Pty Limited,12,8,2,83.3,0.0,0.12,53
Profusion PAC Pty Ltd,12,6,2,58.3,0.0,0.12,54
Hays Trades & Labour,12,3,6,8.3,25.0,0.12,55
ACRWORLD,12,7,2,75.0,0.0,0.12,56
Randstad - Industrial,12,2,6,50.0,16.7,0.12,57
Proforce,12,6,2,100.0,16.7,0.12,58
Design & Build,12,5,2,58.3,0.0,0.12,59
Harvey Norman,12,5,8,41.7,0.0,0.12,60
Labour Solutions Australia,12,4,5,50.0,0.0,0.12,61
GOUGH RECRUITMENT - REAL ESTATE | PROPERTY | DEVELOPMENT | CONSTRUCTION,12,2,5,50.0,0.0,0.12,62
Citrus Group Pty Ltd,11,3,1,63.6,27.3,0.11,63
Hallis,11,5,2,54.5,0.0,0.11,64
Spotless,11,5,9,9.1,0.0,0.11,65
Zoom Recruitment & Training,11,4,3,54.5,0.0,0.11,66
Compass Group,11,2,7,0.0,0.0,0.11,67
Programmed Professionals,11,6,3,18.2,0.0,0.11,68
Labourpower Recruitment Services Pty Ltd,11,2,4,45.5,36.4,0.11,69
Michael Page Accounting & Finance,11,2,3,54.5,18.2,0.11,70
Caltex Australia,11,2,7,0.0,0.0,0.11,71
Hays Facilities Management,11,4,7,9.1,36.4,0.11,72
Talent – Winner ‘Seek Large Recruitment Agency of the Year’ 3 consecutive years!,11,5,5,45.5,0.0,0.11,73
Ambition,11,3,3,54.5,0.0,0.11,74
AMP Services Limited,10,6,4,30.0,0.0,0.1,75
Fuse Recruitment,10,5,3,50.0,0.0,0.1,76
Travel Trade Recruitment ltd,10,2,4,100.0,0.0,0.1,77
News Corp Australia,10,7,3,10.0,0.0,0.1,78
Reo Group,10,3,1,100.0,20.0,0.1,79
Engage Personnel,10,4,1,80.0,0.0,0.1,80
Paxus,10,3,5,30.0,0.0,0.1,81
DFP Recruitment,10,4,6,40.0,0.0,0.1,82
Lendlease,10,5,5,0.0,0.0,0.1,83
Australian Government Department of Human Services,10,2,6,70.0,0.0,0.1,84
CLIMB Retail Recruitment,10,1,2,100.0,20.0,0.1,85
Franklin Smith Ltd,10,3,3,60.0,0.0,0.1,86
Ignite,10,6,5,60.0,0.0,0.1,87
RecruitShop,9,8,5,100.0,0.0,0.09,88
